"Signal du héro", "Choisisez un monstre guerrier que vous controlez, il gagne 500 ATK","CHOOSE allie ADD allie.ATK 500"
"Appel d'urgence", "Pioche 1 carte si c'est un monstre guerrier pioche une carte de plus","DRAW 1 IF him = guerrier DRAW 1"
"Soin de la justice", "Vous soigne de 200 x nombre de carte dans la main", "SOIN* 200 hand.nb"
"Ravage de foudre", "Si vous controler \"Géant du tonnerre\", détruit un monstre ennemie","IF \"Géant du tonnerre\" CHOOSE ennemie DESTROY cible"
"Dernier espoir","Détruit tous vos monstres et infliger 400 point de dégat à votre adversaire par monstre détruit","DESTROY bord DAMAGE* nb 400"
"Reigne animal", "Toutes vos betes gagne 1 niveau, 400 ATK et DEF","ALL bete ADD cible.ATK 400 ADD cible.DEF 400 ADD cible.lvl 1"
"Prison héroique","Choisisez un monstre guerrier que vous controlez, un monstre ennemie pert un montant d'ATK égal à 100 x le niveau de votre monstre","CHOOSE allie CHOOSE ennemie MINUS* ennemie.ATK 100 allie.lvl"
"Super blocage", "Choisisez un monstre guerrier que vous controlez, il gagne 800 DEF","CHOOSE allie.guerrier ADD him.DEF 800"
"Rappel de secours", "Choisisez un monstre guerrier que vous cimetière, l'ajoute à votre main","CHOOSE cimetiere.guerrier TO hand"
"Destruction de Néos","Choisisez un \"Néos\" que vous controlez, il gagne 500 ATK, attaque tous les monstre ennemis, puis le détruit","CHOOSE allie.\"Néos\" ADD him.ATK 500 ATTACK ennemie.all DESTROY him"
